name,region,est_no_tiles,split
20220828T065324_000924_EU,Europe,1,train
20220828T065550_000923_ME,North Africa & Middle East,1,train
20220828T065626_002733_ME,North Africa & Middle East,1,train
20220828T082847_000926_ME,North Africa & Middle East,1,train
20220828T082847_000927_ME,North Africa & Middle East,1,train
20220828T082847_000928_ME,North Africa & Middle East,1,train
20220828T082847_000929_ME,North Africa & Middle East,1,train
20220828T082847_000930_ME,North Africa & Middle East,1,train
20220829T060627_000543_ME,North Africa & Middle East,1,train
20220829T060913_000544_AS,SE Asia,16,test
20220829T060913_000545_AS,SE Asia,4,test
20220829T165553_000740_AM,North America,1,train
20220830T065244_000546_ME,North Africa & Middle East,4,train
20220831T060702_000547_ME,North Africa & Middle East,1,train
20220831T060702_000548_ME,North Africa & Middle East,4,train
20220831T060738_002200_ME,North Africa & Middle East,1,train
20220901T034318_000554_ST,Stans,1,train
20220901T034318_000555_ST,Stans,1,train
20220901T034318_000556_ST,Stans,1,train
20220901T034318_000557_ST,Stans,1,train
20220901T034318_000558_ST,Stans,1,train
20220901T034318_000559_ST,Stans,1,train
20220901T034318_000560_ST,Stans,1,train
20220901T034318_000561_ST,Stans,1,train
20220901T034318_000562_ST,Stans,4,train
20220901T034318_000563_ST,Stans,1,train
20220901T034318_000564_ST,Stans,1,train
20220901T034318_000565_ST,Stans,1,train
20220901T051709_000550_ME,North Africa & Middle East,1,train
20220901T051720_000551_ME,North Africa & Middle East,1,train
20220901T051920_000552_ME,North Africa & Middle East,1,train
20220901T082525_000549_ME,North Africa & Middle East,16,train
20220903T051924_000568_ME,North Africa & Middle East,11,train
20220903T065056_002339_ME,North Africa & Middle East,1,train
20220903T065242_000567_ME,North Africa & Middle East,1,train
20220903T082537_000566_ME,North Africa & Middle East,1,train
20220909T070254_000569_SA,South America & South Africa,1,test
20220909T070306_000570_SA,South America & South Africa,1,test
20220909T070306_000571_SA,South America & South Africa,1,test
20220909T070306_000572_SA,South America & South Africa,1,test
20230107T143818_000574_SA,South America & South Africa,1,test
20230111T130107_000576_SA,South America & South Africa,1,test
20230111T130218_000575_SA,South America & South Africa,1,test
20230119T040223_000578_AU,Australia,1,val
20230119T040223_000579_AU,Australia,1,val
20230121T161834_000581_SA,South America & South Africa,1,test
20230122T153151_000582_SA,South America & South Africa,1,test
20230123T085311_000583_AS,SE Asia,1,test
20230125T004744_000584_AU,Australia,1,val
20230125T004744_000586_AU,Australia,1,val
20230126T062716_000587_AS,SE Asia,1,test
20230126T124335_000590_ME,North Africa & Middle East,1,train
20230127T162104_000591_SA,South America & South Africa,1,test
20230127T162104_000592_SA,South America & South Africa,1,test
20230128T124118_000593_ME,North Africa & Middle East,1,train
20230128T124118_000594_ME,North Africa & Middle East,1,train
20230128T124130_000595_ME,North Africa & Middle East,1,train
20230129T084611_000738_ME,North Africa & Middle East,1,train
20230129T130321_000596_SA,South America & South Africa,1,test
20230129T130333_000597_SA,South America & South Africa,1,test
20230130T093555_000598_ME,North Africa & Middle East,1,train
20230130T184923_000739_AM,North America,1,train
20230131T053924_000600_AS,SE Asia,1,test
20230131T053936_000601_AS,SE Asia,12,test
20230131T054317_000602_CM,China & Mongolia,1,val
20230131T054340_000603_CM,China & Mongolia,1,val
20230131T054340_000604_CM,China & Mongolia,1,val
20230131T084913_000599_ST,Stans,1,train
20230201T075326_000605_ME,North Africa & Middle East,1,train
20230202T070803_000606_ME,North Africa & Middle East,1,train
20230202T070803_000610_ME,North Africa & Middle East,1,train
20230202T193821_000611_AM,North America,1,train
20230203T062256_000614_AS,SE Asia,1,test
20230203T062629_000615_CM,China & Mongolia,1,val
20230203T062629_000616_CM,China & Mongolia,1,val
20230203T171434_000613_AM,North America,1,train
20230204T040649_000617_CM,China & Mongolia,1,val
20230204T041009_000618_CM,China & Mongolia,1,val
20230204T070701_000621_ME,North Africa & Middle East,16,train
20230204T071117_000622_ST,Stans,1,train
20230204T071144_000623_ST,Stans,1,train
20230204T084139_000619_ME,North Africa & Middle East,1,train
20230204T084203_000620_ME,North Africa & Middle East,1,train
20230205T171244_000624_AM,North America,1,train
20230205T171255_000625_AM,North America,1,train
20230205T171255_000626_AM,North America,1,train
20230205T171255_000627_AM,North America,1,train
20230205T171255_000628_AM,North America,1,train
20230205T171255_000629_AM,North America,1,train
20230205T171255_000630_AM,North America,4,train
20230205T171255_000631_AM,North America,1,train
20230206T162514_000635_AM,North America,1,train
20230214T072457_000640_CM,China & Mongolia,1,val
20230214T085715_000639_CM,China & Mongolia,1,val
20230214T103422_000637_AS,SE Asia,1,test
20230214T103422_000638_AS,SE Asia,1,test
20230214T103457_000636_AS,SE Asia,1,test
20230215T063626_000643_CM,China & Mongolia,1,val
20230215T111933_000641_ME,North Africa & Middle East,1,train
20230215T203354_000644_AM,North America,1,train
20230216T133626_000658_ME,North Africa & Middle East,1,train
20230216T133626_000659_ME,North Africa & Middle East,1,train
20230216T133626_000660_ME,North Africa & Middle East,1,train
20230216T133626_000661_ME,North Africa & Middle East,1,train
20230216T133701_000662_ME,North Africa & Middle East,1,train
20230217T063221_000646_CM,China & Mongolia,1,val
20230217T111603_000653_ME,North Africa & Middle East,4,train
20230217T203134_000647_AM,North America,1,train
20230217T203432_000648_AM,North America,1,train
20230218T085651_000656_AS,SE Asia,1,test
20230218T085651_000657_AS,SE Asia,1,test
20230218T085703_000655_AS,SE Asia,1,test
20230218T085739_000654_AS,SE Asia,4,test
20230218T102723_000652_ME,North Africa & Middle East,1,train
20230218T120210_000649_ME,North Africa & Middle East,1,train
20230218T120210_000650_ME,North Africa & Middle East,1,train
20230218T120210_000651_ME,North Africa & Middle East,1,train
20230218T181054_000663_AM,North America,1,train
20230219T063155_000686_CM,China & Mongolia,1,val
20230219T080503_000683_ST,Stans,16,train
20230219T080527_000681_ST,Stans,1,train
20230219T080527_000682_ST,Stans,1,train
20230219T080539_000678_ST,Stans,1,train
20230219T080539_000679_ST,Stans,1,train
20230219T080539_000680_ST,Stans,1,train
20230219T093908_000667_EU,Europe,1,train
20230219T093943_000668_ME,North Africa & Middle East,1,train
20230219T094118_000669_ME,North Africa & Middle East,1,train
20230219T094118_000670_ME,North Africa & Middle East,1,train
20230219T094118_000671_ME,North Africa & Middle East,1,train
20230219T094118_000672_ME,North Africa & Middle East,1,train
20230219T094118_000673_ME,North Africa & Middle East,1,train
20230219T094130_000674_ME,North Africa & Middle East,1,train
20230219T094130_000675_ME,North Africa & Middle East,1,train
20230219T094130_000677_ME,North Africa & Middle East,4,train
20230219T190539_000664_SA,South America & South Africa,1,test
20230220T054540_000687_CM,China & Mongolia,1,val
20230220T054540_000688_CM,China & Mongolia,1,val
20230220T054540_000689_CM,China & Mongolia,1,val
20230220T071530_000685_ST,Stans,1,train
20230220T103220_000690_ME,North Africa & Middle East,1,train
20230220T103220_000691_ME,North Africa & Middle East,1,train
20230220T103220_000692_ME,North Africa & Middle East,1,train
20230220T103220_000693_ME,North Africa & Middle East,1,train
20230220T194324_000696_AM,North America,1,train
20230220T194546_000695_AM,North America,1,train
20230220T194723_000694_AM,North America,1,train
20230221T045604_000716_CM,China & Mongolia,1,val
20230221T063001_000713_ST,Stans,1,train
20230221T093954_000697_ME,North Africa & Middle East,1,train
20230221T093954_000698_ME,North Africa & Middle East,1,train
20230222T085106_000699_EU,Europe,1,train
20230223T045645_000714_CM,China & Mongolia,1,val
20230223T045720_000715_CM,China & Mongolia,1,val
20230223T063022_000711_ST,Stans,4,train
20230223T063022_000712_ST,Stans,1,train
20230223T063033_000710_ST,Stans,4,train
20230223T063057_000708_ST,Stans,1,train
20230223T063057_000709_ST,Stans,4,train
20230223T063109_000704_ST,Stans,4,train
20230223T063109_000705_ST,Stans,1,train
20230223T063109_000706_ST,Stans,16,train
20230223T063109_000707_ST,Stans,16,train
20230223T080447_000700_EU,Europe,1,train
20230223T080459_000701_EU,Europe,1,train
20230224T041158_000717_CM,China & Mongolia,1,val
20230224T041158_000718_CM,China & Mongolia,1,val
20230224T041158_000719_CM,China & Mongolia,1,val
20230224T041158_000720_CM,China & Mongolia,1,val
20230224T085831_000733_ME,North Africa & Middle East,1,train
20230224T085831_000734_ME,North Africa & Middle East,4,train
20230224T085831_000735_ME,North Africa & Middle East,1,train
20230224T102219_000724_EU,Europe,1,train
20230224T181000_000731_AM,North America,1,train
20230224T181000_000732_AM,North America,1,train
20230224T181429_000726_AM,North America,1,train
20230224T181429_000727_AM,North America,4,train
20230224T181429_000728_AM,North America,1,train
20230224T181441_000725_AM,North America,1,train
20230225T050619_000721_AS,SE Asia,1,test
20230225T050619_000722_AS,SE Asia,1,test
20230225T050619_000723_AS,SE Asia,1,test
20230225T080531_000747_ME,North Africa & Middle East,1,train
20230225T080543_000746_ME,North Africa & Middle East,4,train
20230226T041022_000749_CM,China & Mongolia,4,val
20230226T041022_000750_CM,China & Mongolia,3,val
20230226T054714_000748_AS,SE Asia,1,test
20230227T155714_000736_SA,South America & South Africa,1,test
20230227T155714_000737_SA,South America & South Africa,1,test
20230311T125954_000752_SA,South America & South Africa,1,test
20230318T045250_000849_AU,Australia,1,val
20230323T144805_002430_SA,South America & South Africa,1,test
20230324T094919_000757_AS,SE Asia,1,test
20230324T094943_000758_AS,SE Asia,1,test
20230325T121118_000767_ME,North Africa & Middle East,1,train
20230325T121118_000768_ME,North Africa & Middle East,1,train
20230325T134123_000763_ME,North Africa & Middle East,1,train
20230325T134123_000764_ME,North Africa & Middle East,1,train
20230325T134135_000765_ME,North Africa & Middle East,1,train
20230325T134147_000766_ME,North Africa & Middle East,1,train
20230325T151728_000761_EU,Europe,1,train
20230326T081920_002585_CM,China & Mongolia,1,val
20230326T081955_000771_CM,China & Mongolia,1,val
20230326T112521_000769_ST,Stans,1,train
20230326T142844_002586_ME,North Africa & Middle East,1,train
20230326T142844_002587_ME,North Africa & Middle East,1,train
20230326T142844_002588_ME,North Africa & Middle East,1,train
20230326T143019_000762_ME,North Africa & Middle East,1,train
20230327T073331_000772_CM,China & Mongolia,1,val
20230327T120858_002591_ME,North Africa & Middle East,1,train
20230327T120957_002592_ME,North Africa & Middle East,1,train
20230330T094934_000780_ST,Stans,1,train
20230330T095033_000781_ST,Stans,4,train
20230330T095045_000782_ST,Stans,1,train
20230330T125250_000778_ME,North Africa & Middle East,1,train
20230330T125302_000775_ME,North Africa & Middle East,1,train
20230330T125302_000776_ME,North Africa & Middle East,1,train
20230330T125302_000777_ME,North Africa & Middle East,1,train
20230330T125302_000779_ME,North Africa & Middle East,1,train
20230331T072349_000784_AS,SE Asia,1,test
20230331T120633_002594_ME,North Africa & Middle East,1,train
20230331T194937_000848_AM,North America,1,train
20230403T081031_000791_ME,North Africa & Middle East,1,train
20230403T081219_000792_ME,North Africa & Middle East,1,train
20230403T081219_000793_ME,North Africa & Middle East,4,train
20230403T081457_000794_ST,Stans,1,train
20230403T094539_000790_ME,North Africa & Middle East,1,train
20230403T111837_000786_ME,North Africa & Middle East,1,train
20230403T111837_000787_ME,North Africa & Middle East,1,train
20230403T111837_000788_ME,North Africa & Middle East,1,train
20230403T111837_002609_ME,North Africa & Middle East,1,train
20230403T111837_002610_ME,North Africa & Middle East,1,train
20230403T111849_000785_ME,North Africa & Middle East,1,train
20230403T111849_002611_ME,North Africa & Middle East,1,train
20230404T085844_000795_ME,North Africa & Middle East,1,train
20230404T085908_000796_ME,North Africa & Middle East,16,train
20230404T090019_000798_ME,North Africa & Middle East,1,train
20230404T090019_000799_ME,North Africa & Middle East,1,train
20230404T090019_000800_ME,North Africa & Middle East,1,train
20230404T090019_000801_ME,North Africa & Middle East,1,train
20230404T090031_000797_ME,North Africa & Middle East,1,train
20230404T090042_000802_EU,Europe,1,train
20230404T090042_000803_EU,Europe,1,train
20230405T063543_000804_ME,North Africa & Middle East,1,train
20230405T063543_000805_ME,North Africa & Middle East,1,train
20230405T063543_000806_ME,North Africa & Middle East,1,train
20230405T063543_000807_ME,North Africa & Middle East,1,train
20230405T081246_000808_ME,North Africa & Middle East,1,train
20230405T081246_000809_ME,North Africa & Middle East,1,train
20230413T095729_000818_ST,Stans,1,train
20230416T122203_000810_ME,North Africa & Middle East,1,train
20230416T213735_000851_AM,North America,1,train
20230417T095836_000811_ST,Stans,1,train
20230417T095836_000812_ST,Stans,1,train
20230417T095836_000813_ST,Stans,1,train
20230417T095836_000814_ST,Stans,16,train
20230417T095836_000815_ST,Stans,1,train
20230417T095836_000816_ST,Stans,1,train
20230417T095848_000817_ST,Stans,1,train
20230418T060602_000822_CM,China & Mongolia,1,val
20230418T060625_000823_CM,China & Mongolia,1,val
20230418T060625_000824_CM,China & Mongolia,1,val
20230418T060625_000825_CM,China & Mongolia,1,val
20230418T060625_000826_CM,China & Mongolia,1,val
20230418T060625_002052_CM,China & Mongolia,1,val
20230418T060625_002056_CM,China & Mongolia,1,val
20230418T060625_002057_CM,China & Mongolia,1,val
20230418T090931_002044_ST,Stans,1,train
20230418T090931_002045_ST,Stans,1,train
20230418T091053_002046_ST,Stans,1,train
20230418T091117_002048_ST,Stans,1,train
20230418T091128_002047_ST,Stans,1,train
20230418T091152_000828_ST,Stans,1,train
20230418T091216_000827_ST,Stans,1,train
20230418T200118_000829_AM,North America,1,train
20230419T082352_000832_ST,Stans,1,train
20230419T113335_002060_ME,North Africa & Middle East,1,train
20230419T130650_000830_ME,North Africa & Middle East,1,train
20230419T130650_000831_ME,North Africa & Middle East,1,train
20230420T060148_000837_CM,China & Mongolia,1,val
20230420T073554_002068_ST,Stans,1,train
20230420T104534_000833_ME,North Africa & Middle East,4,train
20230421T082329_000835_ST,Stans,1,train
20230421T082638_000836_AS,SE Asia,1,test
20230421T100017_000834_ME,North Africa & Middle East,1,train
20230421T191423_000850_AM,North America,1,train
20230422T073437_000842_ST,Stans,1,train
20230422T091058_000839_ME,North Africa & Middle East,4,train
20230422T091110_000840_ME,North Africa & Middle East,1,train
20230423T051516_000844_CM,China & Mongolia,1,val
20230423T051516_000846_CM,China & Mongolia,1,val
20230423T051516_000847_CM,China & Mongolia,1,val
20230423T064421_000843_ST,Stans,1,train
20230423T082223_000841_ME,North Africa & Middle East,1,train
20230423T100136_000838_ME,North Africa & Middle East,4,train
20230423T112619_000853_EU,Europe,1,train
20230423T112908_000854_ME,North Africa & Middle East,1,train
20230423T191232_000852_AM,North America,1,train
20230424T042444_000856_CM,China & Mongolia,4,val
20230424T060859_000857_AS,SE Asia,1,test
20230424T090818_000855_ME,North Africa & Middle East,1,train
20230424T164949_000858_AM,North America,1,train
20230424T182545_002857_AM,North America,1,train
20230425T034028_000861_CM,China & Mongolia,1,val
20230425T034040_000862_CM,China & Mongolia,1,val
20230425T034040_000863_CM,China & Mongolia,1,val
20230425T034040_000864_CM,China & Mongolia,1,val
20230425T034040_000865_CM,China & Mongolia,1,val
20230425T034040_000866_CM,China & Mongolia,1,val
20230425T034040_000867_CM,China & Mongolia,1,val
20230425T034040_002844_CM,China & Mongolia,1,val
20230425T051216_000860_CM,China & Mongolia,13,val
20230425T064628_002839_ST,Stans,1,train
20230425T064628_002840_ST,Stans,1,train
20230425T064628_002841_ST,Stans,1,train
20230425T081923_000859_ME,North Africa & Middle East,1,train
20230426T025302_000876_CM,China & Mongolia,1,val
20230426T055703_000874_ST,Stans,6,train
20230426T055703_000875_ST,Stans,16,train
20230426T073130_000870_EU,Europe,1,train
20230426T182239_000868_AM,North America,1,train
20230426T182239_000869_AM,North America,1,train
20230427T064404_000871_ME,North Africa & Middle East,1,train
20230427T064416_000872_ME,North Africa & Middle East,1,train
20230427T064416_000873_ME,North Africa & Middle East,1,train
20230427T173630_000877_AM,North America,1,train
20230427T175126_002681_SA,South America & South Africa,1,test
20230428T024900_000897_CM,China & Mongolia,1,val
20230428T055524_000885_ST,Stans,4,train
20230428T055536_000880_ST,Stans,1,train
20230428T055536_000881_ST,Stans,4,train
20230428T055536_000882_ST,Stans,16,train
20230428T055536_000883_ST,Stans,4,train
20230428T055536_000884_ST,Stans,4,train
20230428T090309_000878_ME,North Africa & Middle East,1,train
20230428T090309_000879_ME,North Africa & Middle East,1,train
20230429T050811_000888_ST,Stans,4,train
20230429T050811_000889_ST,Stans,4,train
20230429T050811_000890_ST,Stans,16,train
20230429T050811_000891_ST,Stans,1,train
20230429T050811_000892_ST,Stans,11,train
20230429T050811_000893_ST,Stans,4,train
20230429T050811_000895_ST,Stans,4,train
20230429T050811_000896_ST,Stans,1,train
20230429T050823_000886_ST,Stans,1,train
20230429T050823_000887_ST,Stans,1,train
20230429T050823_000894_ST,Stans,16,train
20230429T050835_002626_ST,Stans,1,train
20230429T064405_002622_ME,North Africa & Middle East,1,train
20230430T055556_000902_ME,North Africa & Middle East,1,train
20230430T055608_000903_ME,North Africa & Middle East,4,train
20230430T072853_000898_ME,North Africa & Middle East,1,train
20230430T072853_000899_ME,North Africa & Middle East,1,train
20230430T072853_000900_ME,North Africa & Middle East,1,train
20230430T072853_000901_ME,North Africa & Middle East,1,train
20230430T164407_000931_AM,North America,1,train
20230502T042234_000906_AS,SE Asia,4,test
20230502T042234_000907_AS,SE Asia,4,test
20230502T042258_000905_AS,SE Asia,1,test
20230502T072754_000904_ME,North Africa & Middle East,1,train
20230504T135442_000911_SA,South America & South Africa,1,test
20230504T135454_000908_SA,South America & South Africa,4,test
20230504T135454_000909_SA,South America & South Africa,4,test
20230504T135454_000910_SA,South America & South Africa,1,test
20230526T142126_000912_ME,North Africa & Middle East,1,train
20230526T142126_000913_ME,North Africa & Middle East,1,train
20230526T142126_000914_ME,North Africa & Middle East,1,train
20230527T133235_000257_ME,North Africa & Middle East,1,train
20230529T085541_002038_CM,China & Mongolia,1,val
20230529T085640_002039_CM,China & Mongolia,1,val
20230529T115740_000258_ME,North Africa & Middle East,1,train
20230529T115740_000259_ME,North Africa & Middle East,1,train
20230529T115740_002036_ME,North Africa & Middle East,1,train
20230530T063504_002086_CM,China & Mongolia,1,val
20230530T093728_000260_ME,North Africa & Middle East,1,train
20230530T094018_002083_ST,Stans,1,train
20230530T094018_002084_ST,Stans,1,train
20230530T185754_000254_AM,North America,1,train
20230531T102316_000310_ME,North Africa & Middle East,1,train
20230531T102439_000311_ME,North Africa & Middle East,1,train
20230601T093623_000314_ME,North Africa & Middle East,1,train
20230601T093903_002216_ST,Stans,16,train
20230602T071917_000321_CM,China & Mongolia,1,val
20230602T084726_002286_ME,North Africa & Middle East,1,train
20230602T084726_002287_ME,North Africa & Middle East,1,train
20230603T075914_000262_ME,North Africa & Middle East,1,train
20230603T075926_000263_ME,North Africa & Middle East,1,train
20230603T080204_002410_ST,Stans,1,train
20230603T080327_000264_ST,Stans,1,train
20230603T093209_000306_ME,North Africa & Middle East,4,train
20230603T093209_000307_ME,North Africa & Middle East,1,train
20230603T093209_000308_ME,North Africa & Middle East,1,train
20230604T070641_000233_ME,North Africa & Middle East,4,train
20230604T180205_000218_AM,North America,1,train
20230604T180205_000219_AM,North America,1,train
20230604T180217_000220_AM,North America,1,train
20230604T180229_000221_AM,North America,1,train
20230605T080026_000223_ST,Stans,6,train
20230605T080026_000226_ST,Stans,4,train
20230605T080026_000227_ST,Stans,1,train
20230605T080026_000228_ST,Stans,1,train
20230605T080026_000229_ST,Stans,1,train
20230605T080026_000230_ST,Stans,1,train
20230606T053448_002436_AS,SE Asia,1,test
20230606T053523_000936_AS,SE Asia,1,test
20230606T070919_002437_ME,North Africa & Middle East,1,train
20230606T085011_002433_ST,Stans,1,train
20230606T101459_000938_ME,North Africa & Middle East,1,train
20230607T062035_002452_ME,North Africa & Middle East,1,train
20230607T062035_002454_ME,North Africa & Middle East,1,train
20230607T062333_002455_ST,Stans,8,train
20230607T062333_002456_ST,Stans,16,train
20230607T062333_002457_ST,Stans,1,train
20230607T062333_002458_ST,Stans,1,train
20230607T062333_002459_ST,Stans,1,train
20230607T062333_002460_ST,Stans,1,train
20230607T062333_002461_ST,Stans,4,train
20230607T062333_002462_ST,Stans,4,train
20230607T062333_002463_ST,Stans,30,train
20230607T062333_002464_ST,Stans,4,train
20230607T062333_002465_ST,Stans,4,train
20230607T062333_002466_ST,Stans,16,train
20230607T062333_002467_ST,Stans,4,train
20230607T062432_002470_ST,Stans,1,train
20230607T080031_002471_ST,Stans,1,train
20230607T092629_000935_ME,North Africa & Middle East,1,train
20230607T092641_000939_ME,North Africa & Middle East,1,train
20230607T092641_000940_ME,North Africa & Middle East,1,train
20230608T053135_000357_ME,North Africa & Middle East,1,train
20230608T053135_000358_ME,North Africa & Middle East,1,train
20230608T162322_000331_AM,North America,1,train
20230608T162322_000332_AM,North America,1,train
20230608T162322_000333_AM,North America,1,train
20230608T162322_000334_AM,North America,1,train
20230608T162322_000335_AM,North America,1,train
20230608T162322_000337_AM,North America,1,train
20230608T162322_000338_AM,North America,1,train
20230608T162334_000339_AM,North America,4,train
20230608T162334_000341_AM,North America,1,train
20230608T162334_000342_AM,North America,1,train
20230608T162334_000343_AM,North America,1,train
20230608T162334_000344_AM,North America,1,train
20230608T162334_000345_AM,North America,1,train
20230608T162346_000346_AM,North America,1,train
20230608T162346_000350_AM,North America,4,train
20230608T162346_000351_AM,North America,1,train
20230608T162346_000353_AM,North America,1,train
20230608T162346_000355_AM,North America,1,train
20230609T045106_000937_CM,China & Mongolia,1,val
20230609T075016_000934_ME,North Africa & Middle East,1,train
20230609T171010_000953_AM,North America,1,train
20230609T171133_000933_AM,North America,1,train
20230610T035759_000952_CM,China & Mongolia,1,val
20230610T053019_000941_ME,North Africa & Middle East,16,train
20230610T053019_000942_ME,North Africa & Middle East,1,train
20230610T053019_000943_ME,North Africa & Middle East,1,train
20230610T053019_000944_ME,North Africa & Middle East,4,train
20230610T053019_000945_ME,North Africa & Middle East,1,train
20230610T053019_000946_ME,North Africa & Middle East,4,train
20230610T053019_000947_ME,North Africa & Middle East,1,train
20230610T053019_000948_ME,North Africa & Middle East,1,train
20230610T053019_000949_ME,North Africa & Middle East,1,train
20230610T162155_000932_AM,North America,1,train
20230611T044427_000950_ST,Stans,1,train
20230611T044526_000951_ST,Stans,1,train
20230611T061638_000954_ME,North Africa & Middle East,1,train
20230612T022418_000328_CM,China & Mongolia,4,val
20230612T053253_000327_ST,Stans,1,train
20230612T162103_000319_AM,North America,16,train
20230612T162103_000320_AM,North America,1,train
20230613T044314_000035_ST,Stans,1,train
20230613T111348_000024_ST,Stans,1,train
20230613T111348_000025_ST,Stans,1,train
20230613T111348_000026_ST,Stans,1,train
20230613T111348_000027_ST,Stans,1,train
20230613T111348_000028_ST,Stans,1,train
20230613T111348_000029_ST,Stans,1,train
20230613T111348_000030_ST,Stans,1,train
20230613T111348_000032_ST,Stans,1,train
20230613T111348_000033_ST,Stans,1,train
20230614T102403_000043_ST,Stans,1,train
20230614T102403_000045_ST,Stans,1,train
20230614T102415_000044_ST,Stans,1,train
20230614T102415_000046_ST,Stans,1,train
20230614T102415_000047_ST,Stans,1,train
20230614T102415_000048_ST,Stans,1,train
20230614T102439_000049_ST,Stans,1,train
20230614T102451_000050_ST,Stans,1,train
20230614T102451_000051_ST,Stans,1,train
20230614T102451_000052_ST,Stans,1,train
20230614T193706_000038_AM,North America,1,train
20230616T115949_001030_ME,North Africa & Middle East,1,train
20230616T211343_001019_AM,North America,1,train
20230616T211419_001022_AM,North America,1,train
20230616T211419_001023_AM,North America,1,train
20230616T211419_001024_AM,North America,1,train
20230616T211419_001026_AM,North America,1,train
20230616T211419_001062_AM,North America,1,train
20230616T211419_001063_AM,North America,1,train
20230616T211431_001027_AM,North America,1,train
20230616T211431_001028_AM,North America,1,train
20230616T211431_001029_AM,North America,1,train
20230617T110003_001103_EU,Europe,1,train
20230619T080347_001158_AS,SE Asia,1,test
20230619T110748_001110_ME,North Africa & Middle East,1,train
20230620T084414_000003_ST,Stans,1,train
20230620T084414_000004_ST,Stans,1,train
20230620T084414_000005_ST,Stans,1,train
20230620T084414_000006_ST,Stans,1,train
20230620T084414_000007_ST,Stans,1,train
20230620T084414_000008_ST,Stans,1,train
20230620T084414_000010_ST,Stans,1,train
20230620T084414_000011_ST,Stans,1,train
20230620T084414_000012_ST,Stans,1,train
20230620T084414_000013_ST,Stans,1,train
20230620T084414_000014_ST,Stans,1,train
20230620T084414_000015_ST,Stans,1,train
20230620T084414_000016_ST,Stans,1,train
20230620T084414_000018_ST,Stans,1,train
20230620T084414_000019_ST,Stans,1,train
20230620T084414_000020_ST,Stans,1,train
20230620T084414_000022_ST,Stans,1,train
20230620T084426_000000_ST,Stans,16,train
20230620T084426_000001_ST,Stans,16,train
20230620T084426_000002_ST,Stans,1,train
20230620T084426_000017_ST,Stans,1,train
20230622T115037_000171_ME,North Africa & Middle East,1,train
20230622T193201_000323_AM,North America,1,train
20230622T193213_000325_AM,North America,1,train
20230624T052900_000179_ST,Stans,1,train
