name,region,acronym,est_no_tiles,split
20230218T181054_000663,North America,AM,1,train
20230219T063155_000686,China & Mongolia,CM,1,val
20230219T080503_000683,Stans,ST,16,train
20230219T080527_000681,Stans,ST,1,train
20230219T080527_000682,Stans,ST,1,train
20230219T080539_000678,Stans,ST,1,train
20230219T080539_000679,Stans,ST,1,train
20230219T080539_000680,Stans,ST,1,train
20230219T093908_000667,Europe,EU,1,train
20230219T093943_000668,North Africa & Middle East,ME,1,train
20230219T094118_000669,North Africa & Middle East,ME,1,train
20230219T094118_000670,North Africa & Middle East,ME,1,train
20230219T094118_000671,North Africa & Middle East,ME,1,train
20230219T094118_000672,North Africa & Middle East,ME,1,train
20230219T094118_000673,North Africa & Middle East,ME,1,train
20230219T094130_000674,North Africa & Middle East,ME,1,train
20230219T094130_000675,North Africa & Middle East,ME,1,train
20230219T094130_000677,North Africa & Middle East,ME,4,train
20230219T190539_000664,South America & South Africa,SA,1,test
20230220T054540_000687,China & Mongolia,CM,1,val
20230220T054540_000688,China & Mongolia,CM,1,val
20230220T054540_000689,China & Mongolia,CM,1,val
20230220T071530_000685,Stans,ST,1,train
20230220T103220_000690,North Africa & Middle East,ME,1,train
20230220T103220_000691,North Africa & Middle East,ME,1,train
20230220T103220_000692,North Africa & Middle East,ME,1,train
20230220T103220_000693,North Africa & Middle East,ME,1,train
20230220T194324_000696,North America,AM,1,train
20230220T194546_000695,North America,AM,1,train
20230220T194723_000694,North America,AM,1,train
20230221T045604_000716,China & Mongolia,CM,1,val
20230221T063001_000713,Stans,ST,1,train
20230221T093954_000697,North Africa & Middle East,ME,1,train
20230221T093954_000698,North Africa & Middle East,ME,1,train
20230222T085106_000699,Europe,EU,1,train
20230223T045645_000714,China & Mongolia,CM,1,val
20230223T045720_000715,China & Mongolia,CM,1,val
20230223T063022_000711,Stans,ST,4,train
20230223T063022_000712,Stans,ST,1,train
20230223T063033_000710,Stans,ST,4,train
20230223T063057_000708,Stans,ST,1,train
20230223T063057_000709,Stans,ST,4,train
20230223T063109_000704,Stans,ST,4,train
20230223T063109_000705,Stans,ST,1,train
20230223T063109_000706,Stans,ST,16,train
20230223T063109_000707,Stans,ST,16,train
20230223T080447_000700,Europe,EU,1,train
20230223T080459_000701,Europe,EU,1,train
20230224T041158_000717,China & Mongolia,CM,1,val
20230224T041158_000718,China & Mongolia,CM,1,val
20230224T041158_000719,China & Mongolia,CM,1,val
20230224T041158_000720,China & Mongolia,CM,1,val
20230224T085831_000733,North Africa & Middle East,ME,1,train
20230224T085831_000734,North Africa & Middle East,ME,4,train
20230224T085831_000735,North Africa & Middle East,ME,1,train
20230224T102219_000724,Europe,EU,1,train
20230224T181000_000731,North America,AM,1,train
20230224T181000_000732,North America,AM,1,train
20230224T181429_000726,North America,AM,1,train
20230224T181429_000727,North America,AM,4,train
20230224T181429_000728,North America,AM,1,train
20230224T181441_000725,North America,AM,1,train
20230225T050619_000721,SE Asia,AS,1,test
20230225T050619_000722,SE Asia,AS,1,test
20230225T050619_000723,SE Asia,AS,1,test
20230225T080531_000747,North Africa & Middle East,ME,1,train
20230225T080543_000746,North Africa & Middle East,ME,4,train
20230226T041022_000749,China & Mongolia,CM,4,val
20230226T041022_000750,China & Mongolia,CM,3,val
20230226T054714_000748,SE Asia,AS,1,test
20230227T155714_000736,South America & South Africa,SA,1,test
20230227T155714_000737,South America & South Africa,SA,1,test
20230311T125954_000752,South America & South Africa,SA,1,test
20230318T045250_000849,Australia,AU,1,val
20230323T144805_002430,South America & South Africa,SA,1,test
20230324T094919_000757,SE Asia,AS,1,test
20230324T094943_000758,SE Asia,AS,1,test
20230325T121118_000767,North Africa & Middle East,ME,1,train
20230325T121118_000768,North Africa & Middle East,ME,1,train
20230325T134123_000763,North Africa & Middle East,ME,1,train
20230325T134123_000764,North Africa & Middle East,ME,1,train
20230325T134135_000765,North Africa & Middle East,ME,1,train
20230325T134147_000766,North Africa & Middle East,ME,1,train
20230325T151728_000761,Europe,EU,1,train
20230326T081920_002585,China & Mongolia,CM,1,val
20230326T081955_000771,China & Mongolia,CM,1,val
20230326T112521_000769,Stans,ST,1,train
20230326T142844_002586,North Africa & Middle East,ME,1,train
20230326T142844_002587,North Africa & Middle East,ME,1,train
20230326T142844_002588,North Africa & Middle East,ME,1,train
20230326T143019_000762,North Africa & Middle East,ME,1,train
20230327T073331_000772,China & Mongolia,CM,1,val
20230327T120858_002591,North Africa & Middle East,ME,1,train
20230327T120957_002592,North Africa & Middle East,ME,1,train
20230330T094934_000780,Stans,ST,1,train
20230330T095033_000781,Stans,ST,4,train
20230330T095045_000782,Stans,ST,1,train
20230330T125250_000778,North Africa & Middle East,ME,1,train
20230330T125302_000775,North Africa & Middle East,ME,1,train
20230330T125302_000776,North Africa & Middle East,ME,1,train
20230330T125302_000777,North Africa & Middle East,ME,1,train
20230330T125302_000779,North Africa & Middle East,ME,1,train
20230331T072349_000784,SE Asia,AS,1,test
20230331T120633_002594,North Africa & Middle East,ME,1,train
20230331T194937_000848,North America,AM,1,train
20230403T081031_000791,North Africa & Middle East,ME,1,train
20230403T081219_000792,North Africa & Middle East,ME,1,train
20230403T081219_000793,North Africa & Middle East,ME,4,train
20230403T081457_000794,Stans,ST,1,train
20230403T094539_000790,North Africa & Middle East,ME,1,train
20230403T111837_000786,North Africa & Middle East,ME,1,train
20230403T111837_000787,North Africa & Middle East,ME,1,train
20230403T111837_000788,North Africa & Middle East,ME,1,train
20230403T111837_002609,North Africa & Middle East,ME,1,train
20230403T111837_002610,North Africa & Middle East,ME,1,train
20230403T111849_000785,North Africa & Middle East,ME,1,train
20230403T111849_002611,North Africa & Middle East,ME,1,train
20230404T085844_000795,North Africa & Middle East,ME,1,train
20230404T085908_000796,North Africa & Middle East,ME,16,train
20230404T090019_000798,North Africa & Middle East,ME,1,train
20230404T090019_000799,North Africa & Middle East,ME,1,train
20230404T090019_000800,North Africa & Middle East,ME,1,train
20230404T090019_000801,North Africa & Middle East,ME,1,train
20230404T090031_000797,North Africa & Middle East,ME,1,train
20230404T090042_000802,Europe,EU,1,train
20230404T090042_000803,Europe,EU,1,train
20230405T063543_000804,North Africa & Middle East,ME,1,train
20230405T063543_000805,North Africa & Middle East,ME,1,train
20230405T063543_000806,North Africa & Middle East,ME,1,train
20230405T063543_000807,North Africa & Middle East,ME,1,train
20230405T081246_000808,North Africa & Middle East,ME,1,train
20230405T081246_000809,North Africa & Middle East,ME,1,train
20230413T095729_000818,Stans,ST,1,train
20230416T122203_000810,North Africa & Middle East,ME,1,train
20230416T213735_000851,North America,AM,1,train
20230417T095836_000811,Stans,ST,1,train
20230417T095836_000812,Stans,ST,1,train
20230417T095836_000813,Stans,ST,1,train
20230417T095836_000814,Stans,ST,16,train
20230417T095836_000815,Stans,ST,1,train
20230417T095836_000816,Stans,ST,1,train
20230417T095848_000817,Stans,ST,1,train
20230418T060602_000822,China & Mongolia,CM,1,val
20230418T060625_000823,China & Mongolia,CM,1,val
20230418T060625_000824,China & Mongolia,CM,1,val
20230418T060625_000825,China & Mongolia,CM,1,val
20230418T060625_000826,China & Mongolia,CM,1,val
20230418T060625_002052,China & Mongolia,CM,1,val
20230418T060625_002056,China & Mongolia,CM,1,val
20230418T060625_002057,China & Mongolia,CM,1,val
20230418T090931_002044,Stans,ST,1,train
20230418T090931_002045,Stans,ST,1,train
20230418T091053_002046,Stans,ST,1,train
20230418T091117_002048,Stans,ST,1,train
20230418T091128_002047,Stans,ST,1,train
20230418T091152_000828,Stans,ST,1,train
20230418T091216_000827,Stans,ST,1,train
20230418T200118_000829,North America,AM,1,train
20230419T082352_000832,Stans,ST,1,train
20230419T113335_002060,North Africa & Middle East,ME,1,train
20230419T130650_000830,North Africa & Middle East,ME,1,train
20230419T130650_000831,North Africa & Middle East,ME,1,train
20230420T060148_000837,China & Mongolia,CM,1,val
20230420T073554_002068,Stans,ST,1,train
20230420T104534_000833,North Africa & Middle East,ME,4,train
20230421T082329_000835,Stans,ST,1,train
20230421T082638_000836,SE Asia,AS,1,test
20230421T100017_000834,North Africa & Middle East,ME,1,train
20230421T191423_000850,North America,AM,1,train
20230422T073437_000842,Stans,ST,1,train
20230422T091058_000839,North Africa & Middle East,ME,4,train
20230422T091110_000840,North Africa & Middle East,ME,1,train
20230423T051516_000844,China & Mongolia,CM,1,val
20230423T051516_000846,China & Mongolia,CM,1,val
20230423T051516_000847,China & Mongolia,CM,1,val
20230423T064421_000843,Stans,ST,1,train
20230423T082223_000841,North Africa & Middle East,ME,1,train
20230423T100136_000838,North Africa & Middle East,ME,4,train
20230423T112619_000853,Europe,EU,1,train
20230423T112908_000854,North Africa & Middle East,ME,1,train
20230423T191232_000852,North America,AM,1,train
20230424T042444_000856,China & Mongolia,CM,4,val
20230424T060859_000857,SE Asia,AS,1,test
20230424T090818_000855,North Africa & Middle East,ME,1,train
20230424T164949_000858,North America,AM,1,train
20230424T182545_002857,North America,AM,1,train
20230425T034028_000861,China & Mongolia,CM,1,val
20230425T034040_000862,China & Mongolia,CM,1,val
20230425T034040_000863,China & Mongolia,CM,1,val
20230425T034040_000864,China & Mongolia,CM,1,val
20230425T034040_000865,China & Mongolia,CM,1,val
20230425T034040_000866,China & Mongolia,CM,1,val
20230425T034040_000867,China & Mongolia,CM,1,val
20230425T034040_002844,China & Mongolia,CM,1,val
20230425T051216_000860,China & Mongolia,CM,13,val
20230425T064628_002839,Stans,ST,1,train
20230425T064628_002840,Stans,ST,1,train
20230425T064628_002841,Stans,ST,1,train
20230425T081923_000859,North Africa & Middle East,ME,1,train
20230426T025302_000876,China & Mongolia,CM,1,val
20230426T055703_000874,Stans,ST,6,train
20230426T055703_000875,Stans,ST,16,train
20230426T073130_000870,Europe,EU,1,train
20230426T182239_000868,North America,AM,1,train
20230426T182239_000869,North America,AM,1,train
20230427T064404_000871,North Africa & Middle East,ME,1,train
20230427T064416_000872,North Africa & Middle East,ME,1,train
20230427T064416_000873,North Africa & Middle East,ME,1,train
20230427T173630_000877,North America,AM,1,train
20230427T175126_002681,South America & South Africa,SA,1,test
20230428T024900_000897,China & Mongolia,CM,1,val
20230428T055524_000885,Stans,ST,4,train
20230428T055536_000880,Stans,ST,1,train
20230428T055536_000881,Stans,ST,4,train
20230428T055536_000882,Stans,ST,16,train
20230428T055536_000883,Stans,ST,4,train
20230428T055536_000884,Stans,ST,4,train
20230428T090309_000878,North Africa & Middle East,ME,1,train
20230428T090309_000879,North Africa & Middle East,ME,1,train
20230429T050811_000888,Stans,ST,4,train
20230429T050811_000889,Stans,ST,4,train
20230429T050811_000890,Stans,ST,16,train
20230429T050811_000891,Stans,ST,1,train
20230429T050811_000892,Stans,ST,11,train
20230429T050811_000893,Stans,ST,4,train
20230429T050811_000895,Stans,ST,4,train
20230429T050811_000896,Stans,ST,1,train
20230429T050823_000886,Stans,ST,1,train
20230429T050823_000887,Stans,ST,1,train
20230429T050823_000894,Stans,ST,16,train
20230429T050835_002626,Stans,ST,1,train
20230429T064405_002622,North Africa & Middle East,ME,1,train
20230430T055556_000902,North Africa & Middle East,ME,1,train
20230430T055608_000903,North Africa & Middle East,ME,4,train
20230430T072853_000898,North Africa & Middle East,ME,1,train
20230430T072853_000899,North Africa & Middle East,ME,1,train
20230430T072853_000900,North Africa & Middle East,ME,1,train
20230430T072853_000901,North Africa & Middle East,ME,1,train
20230430T164407_000931,North America,AM,1,train
20230502T042234_000906,SE Asia,AS,4,test
20230502T042234_000907,SE Asia,AS,4,test
20230502T042258_000905,SE Asia,AS,1,test
20230502T072754_000904,North Africa & Middle East,ME,1,train
20230504T135442_000911,South America & South Africa,SA,1,test
20230504T135454_000908,South America & South Africa,SA,4,test
20230504T135454_000909,South America & South Africa,SA,4,test
20230504T135454_000910,South America & South Africa,SA,1,test
20230526T142126_000912,North Africa & Middle East,ME,1,train
20230526T142126_000913,North Africa & Middle East,ME,1,train
20230526T142126_000914,North Africa & Middle East,ME,1,train
20230527T133235_000257,North Africa & Middle East,ME,1,train
20230529T085541_002038,China & Mongolia,CM,1,val
20230529T085640_002039,China & Mongolia,CM,1,val
20230529T115740_000258,North Africa & Middle East,ME,1,train
20230529T115740_000259,North Africa & Middle East,ME,1,train
20230529T115740_002036,North Africa & Middle East,ME,1,train
20230530T063504_002086,China & Mongolia,CM,1,val
20230530T093728_000260,North Africa & Middle East,ME,1,train
20230530T094018_002083,Stans,ST,1,train
20230530T094018_002084,Stans,ST,1,train
20230530T185754_000254,North America,AM,1,train
20230531T102316_000310,North Africa & Middle East,ME,1,train
20230531T102439_000311,North Africa & Middle East,ME,1,train
20230601T093623_000314,North Africa & Middle East,ME,1,train
20230601T093903_002216,Stans,ST,16,train
20230602T071917_000321,China & Mongolia,CM,1,val
20230602T084726_002286,North Africa & Middle East,ME,1,train
20230602T084726_002287,North Africa & Middle East,ME,1,train
20230603T075914_000262,North Africa & Middle East,ME,1,train
20230603T075926_000263,North Africa & Middle East,ME,1,train
20230603T080204_002410,Stans,ST,1,train
20230603T080327_000264,Stans,ST,1,train
20230603T093209_000306,North Africa & Middle East,ME,4,train
20230603T093209_000307,North Africa & Middle East,ME,1,train
20230603T093209_000308,North Africa & Middle East,ME,1,train
20230604T070641_000233,North Africa & Middle East,ME,4,train
20230604T180205_000218,North America,AM,1,train
20230604T180205_000219,North America,AM,1,train
20230604T180217_000220,North America,AM,1,train
20230604T180229_000221,North America,AM,1,train
20230605T080026_000223,Stans,ST,6,train
20230605T080026_000226,Stans,ST,4,train
20230605T080026_000227,Stans,ST,1,train
20230605T080026_000228,Stans,ST,1,train
20230605T080026_000229,Stans,ST,1,train
20230605T080026_000230,Stans,ST,1,train
20230606T053448_002436,SE Asia,AS,1,test
20230606T053523_000936,SE Asia,AS,1,test
20230606T070919_002437,North Africa & Middle East,ME,1,train
20230606T085011_002433,Stans,ST,1,train
20230606T101459_000938,North Africa & Middle East,ME,1,train
20230607T062035_002452,North Africa & Middle East,ME,1,train
20230607T062035_002454,North Africa & Middle East,ME,1,train
20230607T062333_002455,Stans,ST,8,train
20230607T062333_002456,Stans,ST,16,train
20230607T062333_002457,Stans,ST,1,train
20230607T062333_002458,Stans,ST,1,train
20230607T062333_002459,Stans,ST,1,train
20230607T062333_002460,Stans,ST,1,train
20230607T062333_002461,Stans,ST,4,train
20230607T062333_002462,Stans,ST,4,train
20230607T062333_002463,Stans,ST,30,train
20230607T062333_002464,Stans,ST,4,train
20230607T062333_002465,Stans,ST,4,train
20230607T062333_002466,Stans,ST,16,train
20230607T062333_002467,Stans,ST,4,train
20230607T062432_002470,Stans,ST,1,train
20230607T080031_002471,Stans,ST,1,train
20230607T092629_000935,North Africa & Middle East,ME,1,train
20230607T092641_000939,North Africa & Middle East,ME,1,train
20230607T092641_000940,North Africa & Middle East,ME,1,train
20230608T053135_000357,North Africa & Middle East,ME,1,train
20230608T053135_000358,North Africa & Middle East,ME,1,train
20230608T162322_000331,North America,AM,1,train
20230608T162322_000332,North America,AM,1,train
20230608T162322_000333,North America,AM,1,train
20230608T162322_000334,North America,AM,1,train
20230608T162322_000335,North America,AM,1,train
20230608T162322_000337,North America,AM,1,train
20230608T162322_000338,North America,AM,1,train
20230608T162334_000339,North America,AM,4,train
20230608T162334_000341,North America,AM,1,train
20230608T162334_000342,North America,AM,1,train
20230608T162334_000343,North America,AM,1,train
20230608T162334_000344,North America,AM,1,train
20230608T162334_000345,North America,AM,1,train
20230608T162346_000346,North America,AM,1,train
20230608T162346_000350,North America,AM,4,train
20230608T162346_000351,North America,AM,1,train
20230608T162346_000353,North America,AM,1,train
20230608T162346_000355,North America,AM,1,train
20230609T045106_000937,China & Mongolia,CM,1,val
20230609T075016_000934,North Africa & Middle East,ME,1,train
20230609T171010_000953,North America,AM,1,train
20230609T171133_000933,North America,AM,1,train
20230610T035759_000952,China & Mongolia,CM,1,val
20230610T053019_000941,North Africa & Middle East,ME,16,train
20230610T053019_000942,North Africa & Middle East,ME,1,train
20230610T053019_000943,North Africa & Middle East,ME,1,train
20230610T053019_000944,North Africa & Middle East,ME,4,train
20230610T053019_000945,North Africa & Middle East,ME,1,train
20230610T053019_000946,North Africa & Middle East,ME,4,train
20230610T053019_000947,North Africa & Middle East,ME,1,train
20230610T053019_000948,North Africa & Middle East,ME,1,train
20230610T053019_000949,North Africa & Middle East,ME,1,train
20230610T162155_000932,North America,AM,1,train
20230611T044427_000950,Stans,ST,1,train
20230611T044526_000951,Stans,ST,1,train
20230611T061638_000954,North Africa & Middle East,ME,1,train
20230612T022418_000328,China & Mongolia,CM,4,val
20230612T053253_000327,Stans,ST,1,train
20230612T162103_000319,North America,AM,16,train
20230612T162103_000320,North America,AM,1,train
20230613T044314_000035,Stans,ST,1,train
20230613T111348_000024,Stans,ST,1,train
20230613T111348_000025,Stans,ST,1,train
20230613T111348_000026,Stans,ST,1,train
20230613T111348_000027,Stans,ST,1,train
20230613T111348_000028,Stans,ST,1,train
20230613T111348_000029,Stans,ST,1,train
20230613T111348_000030,Stans,ST,1,train
20230613T111348_000032,Stans,ST,1,train
20230613T111348_000033,Stans,ST,1,train
20230614T102403_000043,Stans,ST,1,train
20230614T102403_000045,Stans,ST,1,train
20230614T102415_000044,Stans,ST,1,train
20230614T102415_000046,Stans,ST,1,train
20230614T102415_000047,Stans,ST,1,train
20230614T102415_000048,Stans,ST,1,train
20230614T102439_000049,Stans,ST,1,train
20230614T102451_000050,Stans,ST,1,train
20230614T102451_000051,Stans,ST,1,train
20230614T102451_000052,Stans,ST,1,train
20230614T193706_000038,North America,AM,1,train
20230616T115949_001030,North Africa & Middle East,ME,1,train
20230616T211343_001019,North America,AM,1,train
20230616T211419_001022,North America,AM,1,train
20230616T211419_001023,North America,AM,1,train
20230616T211419_001024,North America,AM,1,train
20230616T211419_001026,North America,AM,1,train
20230616T211419_001062,North America,AM,1,train
20230616T211419_001063,North America,AM,1,train
20230616T211431_001027,North America,AM,1,train
20230616T211431_001028,North America,AM,1,train
20230616T211431_001029,North America,AM,1,train
20230617T110003_001103,Europe,EU,1,train
20230619T080347_001158,SE Asia,AS,1,test
20230619T110748_001110,North Africa & Middle East,ME,1,train
20230620T084414_000003,Stans,ST,1,train
20230620T084414_000004,Stans,ST,1,train
20230620T084414_000005,Stans,ST,1,train
20230620T084414_000006,Stans,ST,1,train
20230620T084414_000007,Stans,ST,1,train
20230620T084414_000008,Stans,ST,1,train
20230620T084414_000010,Stans,ST,1,train
20230620T084414_000011,Stans,ST,1,train
20230620T084414_000012,Stans,ST,1,train
20230620T084414_000013,Stans,ST,1,train
20230620T084414_000014,Stans,ST,1,train
20230620T084414_000015,Stans,ST,1,train
20230620T084414_000016,Stans,ST,1,train
20230620T084414_000018,Stans,ST,1,train
20230620T084414_000019,Stans,ST,1,train
20230620T084414_000020,Stans,ST,1,train
20230620T084414_000022,Stans,ST,1,train
20230620T084426_000000,Stans,ST,16,train
20230620T084426_000001,Stans,ST,16,train
20230620T084426_000002,Stans,ST,1,train
20230620T084426_000017,Stans,ST,1,train
20230622T115037_000171,North Africa & Middle East,ME,1,train
20230622T193201_000323,North America,AM,1,train
20230622T193213_000325,North America,AM,1,train
20230624T052900_000179,Stans,ST,1,train
